gene_symbol	n_pair_gene_records	n_pair_definitions	n_phenotype_domains	pair_list	phenotype_domain_list	n_GeneA_records	n_GeneB_records	strict_positive_record_count	best_tissue_list	min_best_twas_p	min_best_twas_fdr
NCOA1	1	1	1	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT	autoimmune_IBD	1	0	1	Adrenal_Gland	0.000146	0.000438
ORAI3	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Adipose_Visceral_Omentum	0.000609	0.0006959999999999
PLD2	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Testis	0.00191	0.0070669999999999
PRIM1	1	1	1	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Ovary	0.00292	0.00584
PRR14	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Brain_Anterior_cingulate_cortex_BA24	7.67e-07	3.068e-06
PRSS53	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Breast_Mammary_Tissue	5.37e-06	1.4133333333333334e-05
PRSS8	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Esophagus_Mucosa	0.000983	0.000983
PSMB6	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Lung	2.13e-05	9.793333333333332e-05
RBMS2	1	1	1	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Nerve_Tibial	0.000806	0.003224
RNF40	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Brain_Amygdala	7.54e-07	2.262e-06
RNF7	1	1	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	atopic_allergic	0	1	0	Artery_Tibial	0.0167	0.0477142857142857
SETD1A	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Brain_Cerebellum	1.12e-06	5.6e-06
SRCAP	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Esophagus_Mucosa	1.39e-06	7.645e-06
STARD4	1	1	1	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC	atopic_allergic	0	1	1	Brain_Nucleus_accumbens_basal_ganglia	0.00195	0.0097499999999999
STX1B	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Brain_Cerebellar_Hemisphere	1.43e-06	7.15e-06
STX4	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Brain_Putamen_basal_ganglia	1.54e-06	6.16e-06
TMOD4	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	0	1	1	Vagina	0.00104	0.00312
TNFSF4	1	1	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	atopic_allergic	1	0	1	Heart_Atrial_Appendage	0.000376	0.00282
TOMM40L	1	1	1	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	asthma_lower_airway	0	1	1	Spleen	8.22e-06	3.699e-05
TSLP	1	1	1	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	1	0	1	Esophagus_Gastroesophageal_Junction	1.2e-08	7.200000000000001e-08
VKORC1	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Muscle_Skeletal	8.46e-06	1.692e-05
VMO1	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Breast_Mammary_Tissue	0.000105	0.0003325
VPS72	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	0	1	1	Brain_Cerebellum	0.0106	0.0353333333333333
ZMYND15	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Cells_Cultured_fibroblasts	0.0035	0.0128333333333333
ZNF646	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Artery_Tibial	5.79e-07	4.632e-06
ZNF668	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Artery_Aorta	1.66e-06	6.7550000000000005e-06
ZNF764	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Small_Intestine_Terminal_Ileum	0.0358	0.0358
